['CO[P@@](=O)(N)SC', '(-)']
['CC(=O)OC(C)(C)[C@H]1CC[C@](C)([C@@H](O)COc2ccc(CCNC(=O)c3ccccc3)cc2)O1', '(-)']
['COC1=C(C(=C2C(=C1)C=C(N2)C(=O)N3C[C@H]4C[C@@]45C3=CC(=O)C6=CC=CC=C56)OC)OC', '(+)']
['COc1cc2cc(C(=O)N3C[C@@H]4C[C@]45C3=CC(=O)c3ccccc35)[nH]c2c(OC)c1OC', '(-)']
['COC1=CC(=CC(=C1OC)OC)[C@@H]2[C@H]3[C@@H](CC4=CC5=C(C=C24)OCO5)COC3=O', '(+)']
['COc1cc([C@@H]2c3cc4c(cc3C[C@@H]3COC(=O)[C@@H]32)OCO4)cc(OC)c1OC', '(-)']
['CC1=NC=CC(=C1)C2=CC3=C(C=C2)OC([C@H]([C@@H]3NC(=O)C4=CN=CC=C4)O)(C)C', '(+)']
['Cc1cc(-c2ccc3c(c2)[C@H](NC(=O)c2cccnc2)[C@@H](O)C(C)(C)O3)ccn1', '(-)']
['COC1=C(C=CC(=C1)[C@H]2[C@@H]([C@H]([C@@H](O2)C3=CC(=C(C=C3)O)OC)CO)CO)O', '(+)']
['COc1cc([C@H]2O[C@H](c3ccc(O)c(OC)c3)[C@@H](CO)[C@@H]2CO)ccc1O', '(-)']
['CCN1CCC[C@H]1CNC(=O)C2=C(C(=CC(=C2O)Br)O)OC', '(-)']
['CCN1CCC[C@@H]1CNC(=O)c1c(O)c(Br)cc(O)c1OC', '(+)']
['CCCC1=CC2=C(S1)CN[C@H]3[C@H]2C4=CC(=C(C=C4CC3)OC(=O)C)O', '(-)']
['CCCc1cc2c(s1)CN[C@H]1CCc3cc(OC(C)=O)c(O)cc3[C@H]21', '(+)']
['CCCC1=C(C(=CC(=C1)C(=O)N2C[C@H]([C@@H]2C(=O)NO)CC)OC)OC', '(+)']
['CCCc1cc(C(=O)N2C[C@H](CC)[C@H]2C(=O)NO)cc(OC)c1OC', '(-)']
['CC[C@@]12CCCN3[C@@H]1[C@@]4(CC3)[C@H]5CCCC[C@H]5N[C@H]4[C@H](C2)C(=O)OC', '(-)']
['CC[C@@]12CCCN3CC[C@]4([C@@H]5CCCC[C@@H]5N[C@@H]4[C@H](C(=O)OC)C1)[C@H]32', '(+)']
['COC1=C(C=CC(=C1)C[C@H]2COC[C@@H]2CC3=CC(=C(C=C3)O)OC)O', '(-)']
['COc1cc(C[C@@H]2COC[C@H]2Cc2ccc(O)c(OC)c2)ccc1O', '(+)']
['CC[C@]1(CCCN2[C@H]1C3=C(CC2)C4=CC=CC=C4N3)CCC(=O)OC', '(+)']
['CC[C@]1(CCC(=O)OC)CCCN2CCc3c([nH]c4ccccc34)[C@@H]21', '(-)']
['B1(O[C@@H]2C[C@@H]3C[C@H]([C@@]2(O1)C)C3(C)C)[C@H](CCCBr)N', '(+)']
['CC1(C)[C@H]2C[C@@H]3OB([C@H](N)CCCBr)O[C@]3(C)[C@@H]1C2', '(-)']
['C1CCN(C1)C[C@@H]2CCCN2CCC3=CC(=C(C=C3)Cl)Cl', '(-)']
['Clc1ccc(CCN2CCC[C@@H]2CN2CCCC2)cc1Cl', '(+)']
['C[C@H](CCC[C@H](C)CCCC(C)C)CCC[C@H](C)CC(=O)O', '(-)']
['CC(C)CCC[C@H](C)CCC[C@H](C)CCC[C@@H](C)CC(=O)O', '(+)']
['C[C@@H](C1=CC=NC=C1)OC(=O)C23CC4CC(C2)CC(C4)C3', '(-)']
['C[C@@H](OC(=O)[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccncc1', '(+)']
['C[C@@H]1CCN(C[C@H]1N(C)C2=NC=NC3=C2C=CN3)C(=O)CC#N', '(-)']
['C[C@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12', '(+)']
['CC(C)NCC[C@H](C1=CC=CC=C1)C2=C(C=CC(=C2)CO)O', '(+)']
['CC(C)NCC[C@@H](c1ccccc1)c1cc(CO)ccc1O', '(-)']
['CN(C)C[C@H]1C[C@H](CC[C@@]1(C2=CC(=CC=C2)OC)O)O', '(+)']
['COc1cccc([C@]2(O)CC[C@@H](O)C[C@H]2CN(C)C)c1', '(-)']
['C1CC(=O)NC(=O)[C@H]1N2C(=O)C3=C(C2=O)C(=CC=C3)N', '(-)']
['Nc1cccc2c1C(=O)N([C@@H]1CCC(=O)NC1=O)C2=O', '(+)']
['CC(C)(C)OC(=O)N[C@@H]1C[C@@H](C=C1)C(=O)OC', '(-)']
['COC(=O)[C@H]1C=C[C@@H](NC(=O)OC(C)(C)C)C1', '(+)']
['C[C@@](C1=CC=CC2=CC=CC=C21)(C(=O)O)OC', '(-)']
['CO[C@](C)(C(=O)O)c1cccc2ccccc12', '(+)']
['CN(C)CC[C@@H](C1=CC=CS1)O', '(-)']
['CN(C)CC[C@@H](O)c1cccs1', '(+)']
['C[C@@H](CC(=O)OC)C(=O)OC', '(-)']
['COC(=O)C[C@@H](C)C(=O)OC', '(+)']
['C1CC2=CC=CC=C2C[C@H]1N', '(-)']
['N[C@@H]1CCc2ccccc2C1', '(+)']
['CN(C)C(=O)COC1=CC2=C(CC[C@@H](C2)NC[C@@H](C3=CC(=C(C=C3)O)CCO)O)C=C1', '(-)']
['CN(C)C(=O)COc1ccc2c(c1)C[C@H](NC[C@@H](O)c1ccc(O)c(CCO)c1)CC2', '(+)']
['C[C@@H](C[C@H](C)OP1OC2=C(C=C(C=C2C(C)(C)C)OC)C3=C(O1)C(=CC(=C3)OC)C(C)(C)C)OP4OC5=C(C=C(C=C5C(C)(C)C)OC)C6=C(O4)C(=CC(=C6)OC)C(C)(C)C', '(-)']
['COc1cc(C(C)(C)C)c2op(O[C@H](C)C[C@@H](C)Op3oc4c(C(C)(C)C)cc(OC)cc4c4cc(OC)cc(C(C)(C)C)c4o3)oc3c(C(C)(C)C)cc(OC)cc3c2c1', '(+)']
['CCCCCCCCCC[C@@H]([C@H]1CC[C@H](O1)[C@@H]2CC[C@@H](O2)[C@@H](CCCCCCCCCC[C@H](CC3=C[C@@H](OC3=O)C)O)O)O', '(+)']
['CCCCCCCCCC[C@@H](O)[C@@H]1CC[C@H]([C@H]2CC[C@@H]([C@@H](O)CCCCCCCCCC[C@H](O)CC3=C[C@@H](C)OC3=O)O2)O1', '(-)']
['CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@@H]6C7=C(O3)C(=C(C=C7CCN6)OC)OC)OC)OC', '(+)']
['COc1ccc2cc1Oc1ccc(cc1)C[C@@H]1c3cc(c(OC)cc3CCN1C)Oc1c(OC)c(OC)cc3c1[C@H](C2)NCC3', '(-)']
['C1CN(CCC1[C@H]2C3=C(CCC4=C2N=CC(=C4)Br)C(=C(C=C3)Cl)Br)C(=O)CC5=CC=[N+](C=C5)[O-]', '(-)']
['O=C(Cc1cc[n+]([O+])cc1)N1CCC([C@@H]2c3ccc(Cl)c(Br)c3CCc3cc(Br)cnc32)CC1', '(+)']
['C1CCC2(CC1)O[C@H]([C@@H](O2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)C(C5=CC=CC=C5)(C6=CC=CC=C6)O', '(-)']
['OC(c1ccccc1)(c1ccccc1)[C@H]1OC2(CCCCC2)O[C@@H]1C(O)(c1ccccc1)c1ccccc1', '(+)']
['C1[C@H]([C@H](C2=C(O1)C=CC(=C2)OCC3=NC4=C(S3)C=CC(=C4)F)O)CC5=CC(=CC=C5)C(=O)O', '(+)']
['O=C(O)c1cccc(C[C@H]2COc3ccc(OCc4nc5cc(F)ccc5s4)cc3[C@H]2O)c1', '(-)']
['C1CN(CCN1CCOCC(=O)O)[C@H](C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl', '(-)']
['Cl.Cl.O=C(O)COCCN1CCN([C@@H](c2ccccc2)c2ccc(Cl)cc2)CC1', '(+)']
['COC1=C2C(=CC(=C1N3C[C@H](C4(C3)CC4)N)F)C(=O)C(=CN2[C@@H]5C[C@@H]5F)C(=O)O.O.Cl', '(-)']
['COc1c(N2C[C@H](N)C3(CC3)C2)c(F)cc2c(=O)c(C(=O)O)cn([C@H]3C[C@H]3F)c12.Cl.O', '(+)']
['C1CN(C[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4)C(=O)OC5=CC=CC=C5', '(-)']
['O=C(Oc1ccccc1)N1CC[C@H](c2ccc(F)cc2)[C@@H](COc2ccc3c(c2)OCO3)C1', '(+)']
['C1CO[C@H](CN1)COC2=CC=CC3=C2OCC(=C3)CN4CCOCC4', '(+)']
['C1=C(CN2CCOCC2)COc2c1cccc2OC[C@@H]1CNCCO1', '(-)']
['C1CC1N2C=C(C(=O)C3=CC(=C(C(=C32)F)N4C[C@H]5CC=C[C@H]([C@H]5C4)N)F)C(=O)O.Cl', '(-)']
['Cl.N[C@H]1C=CC[C@H]2CN(c3c(F)cc4c(=O)c(C(=O)O)cn(C5CC5)c4c3F)C[C@H]21', '(+)']
['C[C@@H](C1=CC2=C(C=C1)C(=C(C=C2)OC)Br)C(=O)OCCCCO[N+](=O)[O-]', '(+)']
['COc1ccc2cc([C@@H](C)C(=O)OCCCCO[N+](=O)[O+])ccc2c1Br', '(-)']
['C1CN(C[C@H]([C@@H]1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4)CC5=CC=CC=C5', '(-)']
['Fc1ccc([C@H]2CCN(Cc3ccccc3)C[C@@H]2COc2ccc3c(c2)OCO3)cc1', '(+)']
['CC1=C([C@@]2(CCCC([C@H]2CC1)(C)C)C)CC/C(=C/CC3=C(C=CC(=C3)C(=O)O)O)/C', '(-)']
['CC1=C(CC/C(C)=C/Cc2cc(C(=O)O)ccc2O)[C@@]2(C)CCCC(C)(C)[C@@H]2CC1', '(+)']
['C[C@@H](C1=CC(=CC=C1)Br)N', '(-)']
['C[C@@H](N)c1cccc(Br)c1', '(+)']
['CN[C@H]1CN(C[C@@H]1OC)C2=NC3=C(C=C2)C(=O)C(=CN3C4=NC=CS4)C(=O)O', '(+)']
['CN[C@@H]1CN(c2ccc3c(=O)c(C(=O)O)cn(-c4nccs4)c3n2)C[C@H]1OC', '(-)']
['C[C@H]1[C@H](CCN1CC2=CC=CC=C2)NC(=O)C3=CC(=C(C=C3OC)NC)Cl', '(-)']
['CNc1cc(OC)c(C(=O)N[C@@H]2CCN(Cc3ccccc3)[C@@H]2C)cc1Cl', '(+)']
['C[C@@H]1[C@@H]2[C@@H](C[C@@H]3CCCC[C@H]3[C@@H]2/C=C/C4=NC5=C(C=C4)C=C(C=C5)O)C(=O)O1', '(+)']
['C[C@@H]1OC(=O)[C@H]2C[C@H]3CCCC[C@@H]3[C@@H](/C=C/c3ccc4cc(O)ccc4n3)[C@@H]12', '(-)']
['CC1=CC=C(C=C1)S(=O)(=O)OC[C@@H]2CN(CC[C@H]2C3=CC=C(C=C3)F)C', '(-)']
['Cc1ccc(S(=O)(=O)OC[C@H]2CN(C)CC[C@@H]2c2ccc(F)cc2)cc1', '(+)']
['C[C@H]1CN(CC[C@@]1(C)C2=CC(=CC=C2)O)C[C@H](CC3=CC=CC=C3)C(=O)O', '(+)']
['C[C@@H]1CN(C[C@@H](Cc2ccccc2)C(=O)O)CC[C@]1(C)c1cccc(O)c1', '(-)']
['C[C@H]1CN(C2=C(O1)C=C3C(=C2)C(=CC(=O)N3)C(F)(F)F)CC(F)(F)F', '(+)']
['C[C@@H]1CN(CC(F)(F)F)c2cc3c(C(F)(F)F)cc(=O)[nH]c3cc2O1', '(-)']
['CCOC(=O)CCC1=CC=CC=C1OC[C@H](CNC(C)C)O', '(-)']
['CCOC(=O)CCc1ccccc1OC[C@H](O)CNC(C)C', '(+)']
['CN1CC[C@@]2(CC3=NC4=CC=CC=C4C=C3C[C@H]2C1)C5=CC(=CC=C5)O', '(-)']
['CN1CC[C@@]2(c3cccc(O)c3)Cc3nc4ccccc4cc3C[C@@H]2C1', '(+)']
['CCCN(CCC)[C@H]1CC2=CNC3=C2C(=C(C=C3)C4=CN=CO4)C1', '(-)']
['CCCN(CCC)[C@@H]1Cc2c[nH]c3ccc(-c4cnco4)c(c23)C1', '(+)']
['C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)[C@@H]4C[C@@H]([C@H](C4)O)CO', '(+)']
['Nc1nc(NC2CC2)c2ncn([C@H]3C[C@@H](CO)[C@H](O)C3)c2n1', '(-)']
['CC1=CC=CC2=C(C=NN12)C(=O)O[C@@H]3CN4CCC3CC4', '(-)']
['Cc1cccc2c(C(=O)O[C@H]3CN4CCC3CC4)cnn12', '(+)']
['CCNCC#CCOC(=O)[C@](C1CCCCC1)(C2=CC=CC=C2)O', '(+)']
['CCNCC#CCOC(=O)[C@](O)(c1ccccc1)C1CCCCC1', '(-)']
['C[C@@H](COC1=CC=C(C=C1)OC2=CC=CC=C2)OC3=CC=CC=N3', '(+)']
['C[C@H](COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1', '(-)']
['C[C@@H](C1=CC=CC=C1)OC(=O)C2=CC(=CC(=C2)[N+](=O)[O-])[N+](=O)[O-]', '(+)']
['C[C@@H](OC(=O)c1cc([N+](=O)[O+])cc([N+](=O)[O+])c1)c1ccccc1', '(-)']
['C1COCCN1C2=C(C=C(C=C2)N3C[C@@H](OC3=O)C(=O)N)F', '(-)']
['NC(=O)[C@@H]1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1', '(+)']
['C1CN(CC2=C1SC=C2)[C@@H](C3=CC=CC=C3Cl)C(=O)N', '(+)']
['NC(=O)[C@@H](c1ccccc1Cl)N1CCc2sccc2C1', '(-)']
['C[C@@H]1[C@](OCC(N1)(C)C)(C2=CC(=CC=C2)Cl)O', '(-)']
['C[C@@H]1NC(C)(C)CO[C@@]1(O)c1cccc(Cl)c1', '(+)']
['C[C@@H]1[C@](OCC(N1)(C)C)(C2=CC(=CC=C2)Cl)O.Cl', '(-)']
['C[C@@H]1NC(C)(C)CO[C@@]1(O)c1cccc(Cl)c1.Cl', '(+)']
['CC(C)(C)OC(=O)[C@@H]([C@H](C(=O)OC(C)(C)C)O)O', '(+)']
['CC(C)(C)OC(=O)[C@@H](O)[C@H](O)C(=O)OC(C)(C)C', '(-)']
['CCCCCCCCCC[C@@H](C(F)(F)F)O', '(-)']
['CCCCCCCCCC[C@@H](O)C(F)(F)F', '(+)']
['C[C@H]([C@H](C1=CC=CC=C1)O)N2CCCC2', '(-)']
['C[C@@H]([C@H](O)c1ccccc1)N1CCCC1', '(+)']
['CC1=C2C(=O)C(=O)[C@@]3([C@@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C', '(-)']
['CC(=O)O[C@]12CO[C@H]1C[C@H](O)[C@]1(C)C(=O)C(=O)C3=C(C)[C@H](OC(=O)[C@@H](O)[C@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@](O)([C@H](OC(=O)c4ccccc4)[C@@H]21)C3(C)C', '(+)']
['CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@@H]6C7=CC(=C(C=C7CCN6C)OC)O3)OC)OC)O', '(+)']
['COc1ccc2cc1Oc1ccc(cc1)C[C@@H]1c3c(cc(O)c(OC)c3Oc3cc4c(cc3OC)CCN(C)[C@H]4C2)CCN1C', '(-)']
['C1CN(CCC1[C@H]2C3=C(CCC4=C2N=CC(=C4)Br)C=C(C=C3Br)Cl)C(=O)CC5=CC=[N+](C=C5)[O-]', '(-)']
['O=C(Cc1cc[n+]([O+])cc1)N1CCC([C@H]2c3ncc(Br)cc3CCc3cc(Cl)cc(Br)c32)CC1', '(+)']
['CC(=CC[C@H]1C[C@]2(C(=O)/C(=C(/C3=CC(=C(C=C3)O)O)\\O)/C(=O)[C@](C2=O)(C1(C)C)CC=C(C)C)C[C@@H](CCC(=C)C)C(=C)C)C', '(+)']
['C=C(C)CC[C@@H](C[C@@]12C[C@@H](CC=C(C)C)C(C)(C)[C@@](CC=C(C)C)(C(=O)/C(=C(/O)c3ccc(O)c(O)c3)C1=O)C2=O)C(=C)C', '(-)']
['CCOC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=CC(=C(C(=C2O)Cl)OCCN3CCN(CC3)C)Cl.Cl.Cl', '(-)']
['CCOC(=O)[C@@H](Cc1ccccc1)NC(=O)c1cc(Cl)c(OCCN2CCN(C)CC2)c(Cl)c1O.Cl.Cl', '(+)']
['CC1=C(C(=NC2=C1C3=CC=CC=C3N2CC4=CC=C(C=C4)[C@H](C5CCOCC5)C(=O)NCC6=CC=CC=C6)C)CCC(=O)O', '(-)']
['Cc1nc2c(c(C)c1CCC(=O)O)c1ccccc1n2Cc1ccc([C@H](C(=O)NCc2ccccc2)C2CCOCC2)cc1', '(+)']
['C1[C@H]([C@H](OC2=C1C(=CC3=C2[C@H]4[C@@H]([C@@](O3)(OC5=CC(=CC(=C45)O)O)C6=CC(=C(C=C6)O)O)O)O)C7=CC(=C(C=C7)O)O)O', '(+)']
['Oc1cc(O)c2c(c1)O[C@@]1(c3ccc(O)c(O)c3)Oc3cc(O)c4c(c3[C@@H]2[C@H]1O)O[C@@H](c1ccc(O)c(O)c1)[C@@H](O)C4', '(-)']
['CNC(=O)N1C[C@H](C[C@H]1CP(C2=CC=CC=C2)C3=CC=CC=C3)P(C4CCCCC4)C5CCCCC5', '(-)']
['CNC(=O)N1C[C@H](P(C2CCCCC2)C2CCCCC2)C[C@@H]1CP(c1ccccc1)c1ccccc1', '(+)']
['CN1C=NC=C1[C@](C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N', '(-)']
['Cn1cncc1[C@@](N)(c1ccc(Cl)cc1)c1ccc2c(c1)c(-c1cccc(Cl)c1)cc(=O)n2C', '(+)']
['CCCOC1=C(C=C(C=C1S(=O)(=O)C)[C@@H]2CC[C@H](O2)C3=CC(=C(C(=C3)OC)OC)OC)OC', '(+)']
['CCCOc1c(OC)cc([C@H]2CC[C@H](c3cc(OC)c(OC)c(OC)c3)O2)cc1S(C)(=O)=O', '(-)']
['C1CC2=C(C[C@H]1CN3C(=O)C=CC(=N3)C(C4=CC=CC=C4)C5=CC=CC=C5)C=CC=C2OCC(=O)O', '(-)']
['O=C(O)COc1cccc2c1CC[C@@H](Cn1nc(C(c3ccccc3)c3ccccc3)ccc1=O)C2', '(+)']
['C1CS(=O)(=O)CCC1C2=C(C=C(C=C2)N3C[C@@H](OC3=O)CNC(=O)C(Cl)Cl)F', '(-)']
['O=C(NC[C@@H]1CN(c2ccc(C3CCS(=O)(=O)CC3)c(F)c2)C(=O)O1)C(Cl)Cl', '(+)']
['C1CN2CCN1C[C@H]2CNC(=O)C3=CC(=C(C4=C3OCCO4)N)Cl.Cl.Cl', '(-)']
['Cl.Cl.Nc1c(Cl)cc(C(=O)NC[C@H]2CN3CCN2CC3)c2c1OCCO2', '(+)']
['CCOCC(=O)NC1CCN(CC1)C[C@]23C[C@H](C4=C2C=C(C=C4)Cl)C5=CC=CC=C35', '(+)']
['CCOCC(=O)NC1CCN(C[C@]23C[C@H](c4ccccc42)c2ccc(Cl)cc23)CC1', '(-)']
['CC[C@H](C)C(=O)O[C@H]1C[C@@H](C=C2[C@H]1[C@H]([C@H](C=C2)C)CC[C@@H]3C[C@H](CC(=O)O3)O)O', '(+)']
['CC[C@@H](C)C(=O)O[C@@H]1C[C@@H](O)C=C2C=C[C@@H](C)[C@@H](CC[C@H]3C[C@H](O)CC(=O)O3)[C@@H]21', '(-)']
['CN([C@H]1CCCC[C@@H]1N2CCCC2)C(=O)CC3=CC(=C(C=C3)Cl)Cl.Cl', '(-)']
['CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1.Cl', '(+)']
['CN1[C@@H]2CC[C@H]1CC(C2)OC(=O)[C@H](CO)C3=CC=CC=C3.Br', '(-)']
['Br.CN1[C@@H]2CC[C@H]1C[C@H](OC(=O)[C@@H](CO)c1ccccc1)C2', '(+)']
['C[C@H]1CN(C[C@H]1N)C2=C(C=C3C4=C2CCN(N4C=C(C3=O)C(=O)O)C)F', '(-)']
['C[C@@H]1CN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2CCN4C)C[C@@H]1N', '(+)']
['CC(=CCC1=C2C(=C(C=C1O)OC)C(=O)C[C@H](O2)C3=CC=C(C=C3)O)C', '(-)']
['COc1cc(O)c(CC=C(C)C)c2c1C(=O)C[C@H](c1ccc(O)cc1)O2', '(+)']
['C[C@H]1CC[C@@H]2[C@]3([C@@]1(CC4=C(C=CC(=C4O3)O)OC)C)CCCC2(C)C', '(+)']
['COc1ccc(O)c2c1C[C@@]1(C)[C@H](C)CC[C@@H]3C(C)(C)CCC[C@@]31O2', '(-)']
['CC(C)NC[C@H](COC1=CC=C(C=C1)OCCOCC2CC2)O', '(+)']
['CC(C)NC[C@H](O)COc1ccc(OCCOCC2CC2)cc1', '(-)']
['CC(C)C[C@@H](C(=O)OC)NC(=O)[C@H]([C@@H](CC1=CC=CC=C1)N)O', '(-)']
['COC(=O)[C@@H](CC(C)C)NC(=O)[C@H](O)[C@@H](N)Cc1ccccc1', '(+)']
['CC1=CC(=CC=C1)C#C[C@@]2(CCC[C@@H]3[C@H]2CCN3C(=O)OC)O', '(-)']
['COC(=O)N1CC[C@H]2[C@@H]1CCC[C@]2(O)C#Cc1cccc(C)c1', '(+)']
['CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)CCl', '(-)']
['CC(C)(C)OC(=O)N[C@H](Cc1ccccc1)C(=O)CCl', '(+)']
['CC1=CC=CC=C1O[C@@H](CCNC)C2=CC=CC=C2.Cl', '(+)']
['CNCC[C@@H](Oc1ccccc1C)c1ccccc1.Cl', '(-)']
['C1=CC=C(C=C1)C[C@@H](C(C2=CC=CC=C2)C3=CC=CC=C3)N', '(-)']
['N[C@H](Cc1ccccc1)C(c1ccccc1)c1ccccc1', '(+)']
['CCCCCCCCCCCCCCC[C@H]([C@H](C)N)O', '(+)']
['CCCCCCCCCCCCCCC[C@H](O)[C@@H](C)N', '(-)']
['COC1=C2C3=C(C[C@@H]4[C@H]5[C@]3(CCN4)[C@@H](O2)[C@H](C=C5)O)C=C1', '(-)']
['COc1ccc2c3c1O[C@@H]1[C@H](O)C=C[C@@H]4[C@H](C2)NCC[C@]341', '(+)']
['C[C@@H](CC(C1=CC=CC=C1)C2=CC=CC=C2)NC(C)(C)C', '(-)']
['C[C@H](CC(c1ccccc1)c1ccccc1)NC(C)(C)C', '(+)']
['CN1CC[C@H]([C@H](C1)O)C2=C(C=C(C=C2OC)OC)OC', '(+)']
['COc1cc(OC)c([C@H]2CCN(C)C[C@H]2O)c(OC)c1', '(-)']
['CC1([C@@H]([C@H]1C(=O)N=C(N)N)C2=C3CCOC3=CC=C2)C', '(+)']
['CC1(C)[C@@H](C(=O)N=C(N)N)[C@@H]1c1cccc2c1CCO2', '(-)']
['C1CN(CCN1C2=C(C=C(C=C2)N3C[C@@H](OC3=O)C(=O)N)F)C(=O)CO', '(-)']
['NC(=O)[C@@H]1CN(c2ccc(N3CCN(C(=O)CO)CC3)c(F)c2)C(=O)O1', '(+)']
['CCCCC[C@H]([C@@H](/C=C/[C@@H](CCCCCCCC(=O)O)O)O)O', '(+)']
['CCCCC[C@H](O)[C@@H](O)/C=C/[C@@H](O)CCCCCCCC(=O)O', '(-)']
['B([C@H]1C[C@H]2C[C@@H]([C@@H]1C)C2(C)C)([C@H]3C[C@H]4C[C@@H]([C@@H]3C)C4(C)C)Cl', '(+)']
['C[C@@H]1[C@H]2C[C@@H](C[C@H]1B(Cl)[C@@H]1C[C@@H]3C[C@H]([C@H]1C)C3(C)C)C2(C)C', '(-)']
['CCOC(=O)[C@H](CCC1=CC=CC=C1)N2[C@H](C(=O)OC2=O)C', '(+)']
['CCOC(=O)[C@@H](CCc1ccccc1)N1C(=O)OC(=O)[C@H]1C', '(-)']
['CCCCC[C@H]1[C@H](CCC1=O)CC(=O)O', '(-)']
['CCCCC[C@H]1C(=O)CC[C@H]1CC(=O)O', '(+)']
['COC(=O)[C@@H]([C@H](C1=CC=CC=C1)O)O', '(+)']
['COC(=O)[C@@H](O)[C@H](O)c1ccccc1', '(-)']
['C1=CC(=CC=C1C[C@@H](C(=O)O)O)O', '(+)']
['O=C(O)[C@H](O)Cc1ccc(O)cc1', '(-)']
['C1C[C@H]([C@H](NC1)C2=CC=CC=C2)N', '(-)']
['N[C@H]1CCCN[C@H]1c1ccccc1', '(+)']
['CC(=O)[C@@H](C1=CC=CC=C1)O', '(-)']
['CC(=O)[C@@H](O)c1ccccc1', '(+)']
['C1=CC(=CC(=C1)O)[C@H](C#N)O', '(+)']
['N#C[C@@H](O)c1cccc(O)c1', '(-)']
['C1CN(CCC1CC(=O)N2CCC(CC2)[C@@H]3C4=C(CCC5=C3N=CC(=C5)Br)C(=C(C=C4)Cl)Br)C(=O)N', '(+)']
['NC(=O)N1CCC(CC(=O)N2CCC([C@H]3c4ccc(Cl)c(Br)c4CCc4cc(Br)cnc43)CC2)CC1', '(-)']
['CC(C)C[C@H]1C(=O)N2[C@@H](C[C@]3([C@@H]2NC4=CC=CC=C43)[C@]56C[C@H]7C(=O)N[C@H](C(=O)N7[C@H]5NC8=CC=CC=C68)CC9=CC=CC=C9)C(=O)N1', '(+)']
['CC(C)C[C@H]1NC(=O)[C@H]2C[C@@]3([C@@]45C[C@@H]6C(=O)N[C@H](Cc7ccccc7)C(=O)N6[C@@H]4Nc4ccccc45)c4ccccc4N[C@H]3N2C1=O', '(-)']
['CC(C)C1=NC(=NC(=C1/C=C/[C@@H]2C[C@@H](OC(O2)(C)C)CC(=O)OC(C)(C)C)C3=CC=C(C=C3)F)N(C)S(=O)(=O)C', '(+)']
['CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H]1C[C@@H](CC(=O)OC(C)(C)C)OC(C)(C)O1', '(-)']
['CCCOC1=CC2=C(C=C1)[C@@H]([C@H]([C@@H]2C3=C(C=C(C=C3)OC)OCC(=O)OC)C(=O)OC)C4=CC5=C(C=C4)OCO5', '(+)']
['CCCOc1ccc2c(c1)[C@H](c1ccc(OC)cc1OCC(=O)OC)[C@@H](C(=O)OC)[C@@H]2c1ccc2c(c1)OCO2', '(-)']
['C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(=O)CC(=O)O)O)O)O)O', '(-)']
['O=C(O)CC(=O)OC[C@@H]1O[C@H](Oc2ccc3c(=O)c(-c4ccc(O)cc4)coc3c2)[C@@H](O)[C@H](O)[C@H]1O', '(+)']
['CC(C)C[C@@H](C(=O)NCC#N)N[C@@H](C1=CC=C(C=C1)C2=CC=C(C=C2)S(=O)(=O)C)C(F)(F)F', '(+)']
['CC(C)C[C@@H](N[C@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NCC#N', '(-)']
['CN([C@H]1CCCC[C@@H]1N2CCCC2)C(=O)CC3=CC(=C(C=C3)Cl)Cl.CS(=O)(=O)O', '(-)']
['CN(C(=O)Cc1ccc(Cl)c(Cl)c1)[C@@H]1CCCC[C@H]1N1CCCC1.CS(=O)(=O)O', '(+)']
